4,1,-1
3,4,-1
2,3,-1
2,5,-1
7,1,-1
7,5,-1
6,7,-1
2,6,-1
1,2,-1
10,11,-1
10,12,-1
10,13,-1
9,10,-1
8,9,-1
8,5,-1
8,14,-1
1,8,-1
18,15,-1
17,18,-1
16,17,-1
16,19,-1
21,15,-1
21,19,-1
20,21,-1
16,20,-1
15,16,-1
24,11,-1
24,25,-1
24,26,-1
23,24,-1
22,23,-1
22,19,-1
22,27,-1
15,22,-1
31,32,-1
31,15,-1
30,31,-1
29,30,-1
29,33,-1
29,34,-1
28,29,-1
38,39,-1
38,40,-1
44,45,-1
44,11,-1
43,44,-1
42,43,-1
42,46,-1
42,47,-1
41,42,-1
38,41,-1
37,38,-1
36,37,-1
35,36,-1
51,48,-1
50,51,-1
49,50,-1
49,52,-1
54,48,-1
54,52,-1
53,54,-1
49,53,-1
48,49,-1
57,11,-1
57,58,-1
57,59,-1
56,57,-1
55,56,-1
55,52,-1
55,60,-1
48,55,-1
64,61,-1
63,64,-1
62,63,-1
62,65,-1
67,61,-1
67,65,-1
66,67,-1
62,66,-1
61,62,-1
70,11,-1
70,71,-1
70,72,-1
69,70,-1
68,69,-1
68,65,-1
68,73,-1
61,68,-1
77,78,-1
77,79,-1
83,80,-1
82,83,-1
81,82,-1
81,84,-1
86,80,-1
86,84,-1
85,86,-1
81,85,-1
80,81,-1
89,11,-1
89,90,-1
89,91,-1
88,89,-1
87,88,-1
87,84,-1
87,92,-1
80,87,-1
77,80,-1
76,77,-1
75,76,-1
74,75,-1
